observationid,region,year,month,quarter,type,averageprice,totalvolume,supplierid
17038,Miami/Ft. Lauderdale,2016,10,4,Organic,1.58,385.55,A
6381,Jacksonville,2018,11,4,Organic,1.65,404.62,C
6392,Orlando,2018,11,4,Organic,1.39,405.29,C
16826,Miami/Ft. Lauderdale,2016,10,4,Organic,1.49,472.82,A
10471,New Orleans/Mobile,2017,6,2,Organic,2.19,515.01,C
16985,Miami/Ft. Lauderdale,2016,10,4,Organic,1.58,542.85,A
15109,Boise,2016,2,1,Organic,1.67,562.64,A
17019,Buffalo/Rochester,2016,10,4,Organic,1.63,563.06,A
15162,Boise,2016,2,1,Organic,1.84,566.57,A
10153,New Orleans/Mobile,2017,4,2,Organic,1.95,634.09,C
17063,Syracuse,2016,10,4,Organic,1.73,667.95,A
6411,Tampa,2018,11,4,Organic,1.24,710.36,C
17028,Grand Rapids,2016,10,4,Organic,2.11,740.33,A
17275,Syracuse,2016,11,4,Organic,1.86,775.8,A
16957,Syracuse,2016,10,4,Organic,1.61,795.95,A
14943,Syracuse,2016,1,1,Organic,1.64,809.41,A
17187,Grand Rapids,2016,11,4,Organic,2.26,841.53,A
10193,Grand Rapids,2017,5,2,Organic,2.32,845.11,C
15246,Pittsburgh,2016,3,1,Organic,1.37,867.18,A
17017,Boise,2016,10,4,Organic,1.87,872.07,A
15193,Pittsburgh,2016,2,1,Organic,1.54,879.94,A
15954,Albany,2016,6,2,Organic,1.43,887.29,A
17169,Syracuse,2016,11,4,Organic,1.81,892.02,A
15129,Louisville,2016,2,1,Organic,1.64,897.77,A
14769,Pittsburgh,2016,1,1,Organic,1.44,911.96,A
10524,New Orleans/Mobile,2017,6,2,Organic,2.32,936.69,C
17010,Syracuse,2016,10,4,Organic,1.69,961.36,A
16007,Albany,2016,6,2,Organic,1.45,974.27,A
17240,Grand Rapids,2016,11,4,Organic,2.08,979.74,A
16763,Grand Rapids,2016,9,3,Organic,2.16,980.98,A
16932,Miami/Ft. Lauderdale,2016,10,4,Organic,1.52,991.33,A
15034,Pittsburgh,2016,2,1,Organic,1.45,992.32,A
16882,New Orleans/Mobile,2016,10,4,Organic,1.91,994.05,A
15901,Albany,2016,6,2,Organic,1.47,1007.03,A
16904,Syracuse,2016,10,4,Organic,1.6,1007.51,A
16799,Tampa,2016,9,3,Organic,1.51,1011.16,A
15458,Pittsburgh,2016,4,2,Organic,1.43,1015.29,A
17487,Syracuse,2016,12,4,Organic,1.69,1016.97,A
15076,Louisville,2016,2,1,Organic,1.72,1023.51,A
10563,Grand Rapids,2017,6,2,Organic,2.73,1034.32,C
15875,New Orleans/Mobile,2016,5,2,Organic,1.8,1035,A
16773,Miami/Ft. Lauderdale,2016,9,3,Organic,1.43,1041.31,A
17061,Spokane,2016,10,4,Organic,2.89,1043.41,A
16964,Boise,2016,10,4,Organic,1.76,1047.82,A
